overall_rank,div_rank,Nombre,Apellido,Categoria,tiempo oficial,tiempo neto,sexo,bib,nationality,swim,bike,run_first,run_last
280,35 / 68,Gordillo Omar Fabian,,40-44 M,00:53:03,00:53:01,,1113,,,,,
281,21 / 47,Puccio Guido,,18-24 M,00:54:38,00:53:02,,214,,,,,
282,22 / 47,Ignacio Martinez,,18-24 M,00:54:18,00:53:07,,449,,,,,
283,43 / 81,Colombres Ernesto Rodrigo,,25-29 M,00:53:54,00:53:11,,805,,,,,
284,24 / 53,Gerardo Perco,,45-49 M,00:53:35,00:53:13,,429,,,,,
285,- / 32,Unknown,,0-0 M,00:54:08,00:53:13,,1229,,,,,
286,8 / 27,John Andrea,,25-29 F,00:53:32,00:53:14,,717,,,,,
287,25 / 53,Krasnov Fernando Javier,,45-49 M,00:53:30,00:53:15,,843,,,,,
288,40 / 77,Marengo Juan José,,30-34 M,00:55:15,00:53:21,,1127,,,,,
289,38 / 70,Adrian Marcelo Pose,,35-39 M,00:54:38,00:53:22,,112,,,,,
290,11 / 27,Broso Atilio,,50-54 M,00:53:32,00:53:23,,788,,,,,
291,39 / 70,Elizagaray Antonio,,35-39 M,00:55:18,00:53:23,,1129,,,,,
292,36 / 68,Repollo Christian,,40-44 M,00:53:56,00:53:24,,480,,,,,
293,1 / 10,Valentini Hector Ricardo,,65-69 M,00:53:50,00:53:27,,231,,,,,
294,40 / 70,Maddalena Pablo,,35-39 M,00:54:35,00:53:30,,1211,,,,,
295,7 / 35,Eugenia Martin,,30-34 F,00:54:15,00:53:39,,441,,,,,
